0.05,293,271,329,322,300,344,369,335,294,300,341,346,302,273,294,326,341,390,266,329,307,390,279,338,357,324,329,292,328,322,319,349,280,314,286,319,366,296,334,308,284,261,373,322,388,306,289,274,264,265,381,311,265,343,252,345,352,279,293,310,250,345,393,304,255,263,248,304,281,279,295,292,302,332,408,275,306,279,291,355,416,335,311,384,325,281,281,306,261,299,341,303,298,289,301,313,285,317,274,317,
0.1,110,137,155,130,137,155,139,140,144,183,152,125,139,143,173,167,122,172,124,190,138,151,128,163,167,156,172,136,145,117,137,148,131,169,132,143,151,144,144,135,162,254,147,151,137,124,155,136,147,147,122,178,127,137,136,134,138,124,158,122,127,135,133,129,121,150,122,147,163,129,130,131,127,155,127,138,149,168,124,184,150,161,138,130,181,171,155,163,146,128,159,163,133,118,134,130,148,119,166,142,
0.15,93,108,80,98,100,88,105,76,101,92,78,93,80,96,107,80,93,87,90,81,90,86,96,95,80,88,82,90,104,87,102,109,105,123,85,97,98,139,80,116,98,112,127,76,95,86,91,91,101,79,86,91,102,78,87,90,85,91,102,79,128,71,93,93,113,82,78,83,89,90,91,93,107,107,101,93,91,124,86,95,101,97,98,86,112,91,84,95,101,80,114,99,92,94,100,90,105,95,112,83,
0.2,87,72,75,73,62,71,62,77,57,68,64,71,66,65,67,94,60,54,62,85,66,83,81,69,73,64,74,79,60,76,56,72,71,63,69,74,71,69,71,69,58,66,63,63,57,68,80,69,61,70,65,67,65,75,58,76,66,59,59,71,78,73,67,67,97,67,100,79,74,61,61,72,67,59,95,74,73,65,86,67,64,70,65,68,75,71,60,62,55,69,83,77,57,68,76,59,91,60,75,72,
0.25,52,76,70,70,66,44,65,52,46,64,47,66,63,63,52,50,52,49,50,57,53,51,54,62,55,51,64,67,87,84,44,47,61,52,45,60,59,75,55,53,57,65,66,58,50,64,61,57,67,63,52,62,53,58,49,71,56,56,46,59,47,53,63,55,65,64,58,50,59,47,51,46,50,62,51,48,58,56,53,49,58,53,47,48,83,46,47,61,52,46,49,46,49,50,49,57,62,47,46,61,
0.3,37,42,51,44,53,48,52,36,39,45,45,61,47,50,54,39,42,41,60,48,44,46,51,43,38,65,45,43,53,62,47,47,44,44,45,45,41,45,39,38,46,50,46,44,45,44,46,50,48,38,47,37,60,42,46,46,49,43,46,59,52,41,44,42,36,42,50,48,42,50,40,43,41,44,50,46,48,44,48,39,41,40,54,46,46,44,46,43,59,54,62,51,37,40,41,55,43,46,53,40,
0.35,36,45,36,38,41,34,47,44,44,44,35,40,53,40,41,57,34,35,37,35,35,42,47,36,38,42,40,49,45,34,42,46,36,35,39,30,38,34,36,40,42,35,36,42,37,34,38,38,35,50,38,38,37,35,44,43,39,47,44,36,35,43,45,36,38,37,45,37,36,37,38,40,41,33,43,36,42,40,34,37,49,41,51,40,42,53,32,37,44,40,39,31,47,34,34,35,44,35,37,40,
0.4,42,34,40,30,29,27,37,32,33,41,31,39,35,39,39,36,33,30,34,30,32,28,29,35,35,27,37,34,39,33,36,30,35,42,30,37,35,28,31,34,28,40,34,36,49,41,35,40,45,26,37,31,33,34,41,30,30,34,35,33,32,31,33,48,33,30,31,32,40,33,34,36,38,42,39,40,32,37,30,32,31,40,27,38,30,41,32,38,30,35,40,31,29,32,29,26,34,36,34,33,
0.45,38,27,26,32,32,31,26,27,27,28,26,35,28,28,37,28,27,37,28,28,36,25,28,36,36,29,27,30,31,30,31,30,36,34,31,32,40,38,28,27,37,31,33,28,27,26,31,31,36,34,34,29,32,36,38,26,27,29,40,45,25,34,32,29,26,36,29,36,33,32,26,31,27,30,31,45,36,25,35,26,25,27,32,24,26,29,31,26,30,38,36,35,27,31,32,37,26,28,26,28,
0.5,36,29,28,33,35,29,26,33,32,29,32,23,28,30,28,31,31,25,26,27,27,27,31,32,30,30,34,23,38,30,34,24,28,29,26,25,40,29,25,30,31,38,28,28,25,25,37,25,22,37,24,32,24,30,28,26,33,33,30,26,34,24,29,30,28,32,31,25,32,32,29,32,30,24,24,28,28,24,33,24,24,29,32,33,37,30,22,34,27,27,29,28,34,29,33,29,28,27,24,29,
0.55,27,26,29,28,30,29,25,21,29,30,26,40,23,27,25,23,23,30,23,29,27,23,22,27,25,27,28,23,27,23,24,30,27,41,33,31,28,26,23,22,24,26,30,36,29,30,27,25,28,24,21,27,23,33,21,23,33,26,26,24,25,25,27,29,35,33,29,25,22,28,26,24,31,32,27,27,27,23,21,27,28,23,24,29,28,26,25,21,27,23,27,33,23,33,22,23,29,23,25,22,
0.6,26,29,30,18,23,20,29,30,19,27,29,24,21,34,24,23,32,24,25,22,19,23,26,28,24,22,23,23,20,21,29,24,20,24,29,22,23,23,26,25,31,23,29,29,21,20,37,26,21,22,21,22,25,26,34,21,38,22,33,34,28,20,20,19,25,26,21,24,28,30,22,23,22,30,21,26,20,26,21,22,29,31,28,27,26,20,26,22,23,23,32,24,27,26,25,18,28,21,21,26,
0.65,23,21,22,21,21,31,19,23,21,18,23,23,23,22,27,23,24,19,23,20,22,29,26,25,25,19,22,18,17,22,27,28,19,18,21,22,21,25,24,24,24,22,19,18,21,29,23,20,22,26,26,20,17,20,20,23,20,21,18,21,26,28,24,18,18,22,38,18,21,26,28,22,34,27,22,36,27,19,21,23,22,22,25,26,19,22,22,20,31,28,23,19,22,21,19,21,24,30,20,19,
0.7,17,23,31,20,18,21,18,20,25,20,26,20,22,18,22,23,31,18,19,18,29,17,21,17,22,22,28,26,20,20,19,18,22,19,22,29,16,18,22,19,19,17,18,15,21,18,21,18,29,18,16,18,21,21,18,19,20,19,21,27,23,27,17,20,22,19,25,20,18,23,18,19,19,25,20,17,16,17,23,21,18,19,21,27,20,24,25,20,18,20,24,24,28,18,21,17,20,25,22,17,
0.75,15,20,20,29,18,23,16,16,17,18,17,17,18,24,16,19,23,20,17,17,21,18,17,23,26,16,16,26,19,21,17,17,19,20,16,24,17,16,18,22,18,18,20,18,23,17,23,16,30,17,17,26,22,17,20,23,19,18,18,20,20,17,21,16,19,18,19,17,22,20,17,18,20,18,18,27,15,18,20,16,20,17,21,17,20,15,27,19,25,18,21,22,16,21,20,15,21,21,16,17,
0.8,23,21,18,15,23,21,20,20,15,23,27,22,18,17,18,18,18,16,16,21,17,16,16,22,24,18,18,23,17,17,16,15,16,20,22,15,17,15,18,13,17,18,18,19,17,21,15,14,16,24,21,18,16,16,18,18,17,17,21,15,22,18,20,18,19,15,18,15,16,20,18,23,19,20,21,17,17,19,14,16,17,17,16,18,17,18,20,17,18,22,15,18,22,16,17,15,18,15,21,16,
0.85,18,14,20,15,16,21,18,18,14,16,18,20,20,17,16,16,18,15,20,16,20,15,19,17,16,18,15,17,16,14,16,17,19,15,18,17,18,16,15,17,17,14,18,16,14,16,15,14,21,14,15,19,27,19,17,25,17,20,21,24,18,16,19,26,16,19,21,19,16,21,20,19,16,15,16,18,16,15,17,21,14,21,14,17,20,15,22,15,20,14,14,21,16,17,17,15,19,17,18,15,
0.9,16,12,13,16,19,19,18,15,14,14,14,25,17,14,13,14,14,19,18,19,15,14,23,15,18,16,18,13,15,19,19,15,20,16,13,13,17,17,24,17,13,19,23,15,18,18,28,14,15,18,22,15,17,16,17,16,21,14,22,18,17,17,13,20,15,18,14,23,17,14,16,16,15,15,18,13,17,18,16,16,14,17,15,18,16,18,19,15,19,17,20,20,21,18,13,16,16,14,17,16,
0.95,18,14,18,17,15,15,14,19,13,17,17,15,15,13,16,15,19,17,13,17,13,16,13,14,13,17,17,18,18,19,14,13,14,15,16,14,18,19,16,17,15,16,14,15,14,16,15,18,18,13,15,16,12,16,15,14,19,15,13,17,13,20,13,16,16,14,18,13,17,15,19,15,18,15,16,20,15,15,14,13,13,13,17,14,16,17,12,15,13,13,18,15,15,20,15,14,17,13,13,15,
1,15,17,14,12,16,16,13,18,12,12,17,16,16,14,13,15,14,21,14,21,17,20,14,18,16,13,13,11,17,14,15,13,14,12,17,15,12,16,17,12,16,16,16,18,15,17,15,14,18,16,13,15,13,12,12,15,14,15,17,20,19,17,13,20,15,17,17,15,15,19,14,16,23,17,14,12,19,12,14,15,26,13,15,16,11,13,13,13,13,15,14,15,14,19,15,17,12,13,11,15,
1.05,14,16,17,12,14,19,14,15,15,14,11,18,20,12,19,14,16,18,15,12,12,18,13,18,11,18,14,16,14,14,17,22,14,13,12,21,14,12,16,18,14,18,12,14,17,13,13,16,15,14,15,12,13,21,13,14,13,16,14,16,13,15,16,12,13,19,13,13,14,14,12,18,11,14,15,13,18,18,18,14,12,14,12,13,14,20,14,14,12,17,12,13,13,18,14,15,14,15,17,13,
1.1,12,11,16,14,16,13,18,13,13,16,16,17,15,12,12,13,11,10,15,16,13,11,13,12,15,15,12,12,15,18,13,14,12,11,13,13,13,13,13,16,13,11,13,11,13,15,12,12,13,15,12,12,15,15,19,16,12,16,13,12,14,13,12,13,12,16,15,16,12,19,16,17,12,15,23,10,15,13,14,12,14,12,12,15,22,15,14,14,17,13,11,16,14,15,13,15,16,14,11,15,
1.15,13,13,15,16,14,21,14,12,14,18,19,15,11,15,12,14,16,20,14,14,15,14,14,12,12,14,14,14,12,13,13,11,13,16,11,16,11,12,13,12,16,18,11,17,15,10,10,10,15,13,13,12,11,13,16,12,15,13,14,16,12,11,12,20,12,15,12,17,20,13,13,10,15,16,17,13,10,18,14,13,12,11,16,13,13,15,13,11,11,16,16,11,13,15,12,15,11,11,14,14,
1.2,11,11,17,13,14,14,14,12,14,14,13,13,12,10,15,10,11,13,13,15,13,17,11,14,14,11,11,15,13,11,11,16,14,12,12,12,12,12,10,11,12,15,16,15,12,15,13,10,14,14,19,10,13,11,11,12,13,12,11,14,10,14,12,17,15,11,12,11,18,11,10,14,15,14,12,11,12,13,11,15,14,13,12,10,13,14,14,14,12,12,12,14,12,14,17,15,11,13,13,13,
1.25,11,11,18,11,10,15,11,12,11,13,15,14,14,13,14,12,15,15,11,11,11,15,11,11,12,15,12,10,17,10,13,13,13,13,15,10,10,18,12,11,12,17,12,12,11,11,14,13,10,16,11,11,12,13,13,12,15,13,13,11,10,11,13,10,14,13,15,13,11,11,12,14,15,14,12,12,11,10,10,18,13,12,11,14,14,11,18,11,16,11,17,12,14,15,11,10,13,11,12,13,
1.3,12,10,15,13,11,13,16,12,13,15,11,10,9,15,10,11,14,15,13,10,13,12,11,10,12,15,10,13,15,11,12,9,10,13,10,11,12,13,12,11,13,11,11,14,10,11,15,11,12,12,11,11,10,11,12,12,11,11,10,12,12,13,13,11,17,14,13,11,12,11,11,13,15,16,13,10,13,10,14,12,10,13,13,11,10,10,9,13,10,14,10,12,12,18,12,12,13,11,9,14,
1.35,10,11,12,11,12,10,12,20,11,10,12,12,15,14,10,12,11,11,16,10,14,15,13,13,11,15,13,10,11,12,13,18,12,15,10,15,12,11,12,12,12,12,10,12,10,13,11,17,11,15,17,10,10,12,10,11,9,12,9,13,12,11,11,10,12,12,12,10,20,18,13,12,11,10,11,12,13,10,11,15,12,9,11,10,10,14,14,11,12,11,12,11,11,11,12,13,11,11,12,10,
1.4,9,13,10,14,14,11,9,14,11,10,15,9,12,10,10,11,10,10,12,13,12,10,12,9,10,13,10,11,13,11,10,14,18,11,11,11,9,9,14,9,13,10,10,10,12,11,9,11,12,12,10,10,13,13,12,10,11,9,11,13,14,11,14,10,10,13,10,14,11,13,15,11,11,10,10,12,10,13,11,16,13,13,16,14,12,17,11,10,11,9,14,11,10,11,10,9,12,11,15,12,
1.45,9,11,10,13,11,14,11,13,12,9,9,11,12,9,12,14,11,11,9,10,10,13,10,12,14,11,13,12,9,10,12,14,9,12,10,10,8,14,11,8,9,11,10,10,13,12,14,9,14,10,13,10,9,11,11,9,11,9,11,11,11,11,12,10,13,11,14,9,12,13,13,14,12,12,13,9,11,16,13,10,9,13,14,12,11,11,10,12,9,14,13,15,13,10,11,12,9,10,13,10,
1.5,13,10,11,10,12,9,10,9,8,11,14,11,10,13,12,10,10,11,11,13,11,12,11,10,12,11,10,10,12,11,9,8,8,11,10,11,10,11,14,12,12,12,10,12,11,12,9,11,12,10,10,11,11,14,11,13,8,11,10,12,12,9,12,10,12,9,12,12,12,12,10,9,12,11,10,10,11,10,9,12,9,10,11,13,9,9,10,10,11,10,12,15,9,10,9,12,10,11,11,12,
1.55,10,10,10,10,12,9,11,11,11,11,12,10,14,10,12,10,11,14,11,13,9,9,14,9,12,10,10,9,11,9,14,11,14,11,9,13,10,12,9,12,12,9,11,10,11,9,12,10,11,13,13,9,11,13,12,9,10,14,12,12,11,12,12,10,12,11,13,16,11,10,10,14,12,10,11,15,13,9,12,9,14,9,13,9,13,8,11,14,10,11,11,11,10,9,13,16,10,9,10,10,
1.6,10,9,11,9,9,11,9,14,11,8,8,10,10,12,9,9,11,11,10,11,11,11,9,13,10,10,10,10,9,11,12,11,9,11,12,11,11,12,12,9,11,10,11,12,11,9,11,12,9,11,10,8,9,12,12,11,9,9,11,16,13,12,11,11,12,9,10,10,9,11,8,12,10,10,10,9,10,13,8,10,9,9,10,12,11,12,8,11,10,12,12,8,14,12,12,12,9,12,12,9,
1.65,13,15,16,9,12,12,9,11,9,14,10,10,10,10,12,10,9,12,11,12,12,11,8,9,12,10,10,9,13,9,8,9,14,10,12,12,10,8,10,11,13,10,9,10,9,9,14,11,9,11,9,17,10,12,12,11,13,9,11,8,12,9,12,9,8,9,10,11,15,10,8,16,14,12,10,9,10,13,16,14,10,8,9,10,8,11,11,11,10,9,10,8,9,14,11,8,11,9,9,10,
1.7,10,9,11,11,8,10,9,9,12,12,14,10,9,10,11,10,9,13,8,9,10,12,14,9,9,10,8,9,10,10,9,11,11,10,11,10,8,14,12,11,9,9,8,9,9,11,14,10,9,10,9,8,13,12,15,9,10,9,10,9,16,9,11,8,10,11,12,10,12,9,11,10,8,14,11,9,10,9,9,11,11,11,10,10,12,12,14,8,11,13,10,11,11,12,13,9,8,12,13,10,
1.75,8,8,8,12,9,8,9,13,11,9,8,11,9,8,10,13,8,10,8,9,9,10,11,9,9,10,11,10,9,7,9,11,10,9,9,10,9,12,7,12,9,9,7,12,8,9,10,9,8,9,10,9,8,10,8,13,12,8,11,11,11,10,10,9,11,11,7,9,10,8,10,10,8,9,12,13,10,9,9,10,8,9,10,11,13,10,10,12,10,10,10,7,10,15,10,11,12,10,10,11,
1.8,10,9,9,10,10,11,11,11,9,8,8,13,9,8,9,11,9,8,12,12,10,9,12,10,8,9,10,13,12,10,10,8,12,8,10,10,7,10,9,10,9,13,11,11,11,9,10,8,8,13,13,8,8,9,8,9,10,10,8,7,9,8,9,9,11,10,11,8,12,8,9,10,9,11,8,9,9,10,9,11,9,8,9,10,11,8,9,9,9,9,12,11,10,11,9,11,13,10,13,9,
1.85,9,8,9,11,8,10,13,11,11,15,9,9,8,11,9,11,10,12,12,10,12,9,8,10,9,7,9,9,12,9,9,7,9,9,9,10,10,11,10,9,8,10,9,9,8,8,9,12,10,11,11,8,9,8,9,9,10,9,9,9,9,9,10,11,11,8,8,10,9,8,10,8,8,10,8,11,10,12,11,11,10,9,7,10,8,10,10,10,11,9,9,7,9,10,13,8,8,11,8,8,
1.9,10,10,8,9,8,9,9,11,12,8,9,8,7,11,9,8,10,11,10,12,9,8,9,9,7,7,8,8,8,8,9,9,9,8,9,11,9,7,12,8,10,9,10,7,12,11,9,10,10,8,10,8,11,13,9,7,9,8,8,8,8,9,11,8,12,11,13,9,10,8,9,11,8,9,8,13,11,8,7,9,8,8,9,10,7,13,8,8,9,12,8,8,9,7,9,10,10,8,9,14,
1.95,7,10,9,8,8,12,12,11,9,9,12,14,9,11,8,11,9,9,8,7,10,8,9,10,10,11,8,8,8,10,14,7,10,7,7,7,13,8,11,9,8,9,13,9,10,9,7,11,10,7,9,11,10,11,9,9,9,9,8,8,8,11,7,8,10,10,10,9,7,9,8,8,9,9,8,10,10,7,8,8,8,10,11,9,9,10,10,8,9,9,9,7,12,9,7,10,8,7,12,10,
2,9,8,9,10,9,11,9,9,9,9,9,10,12,8,8,8,7,20,7,11,7,8,9,8,9,11,9,10,8,13,9,7,11,6,11,8,9,9,8,11,8,7,9,8,13,8,10,12,9,11,10,12,7,7,11,9,8,11,8,9,13,8,10,12,8,10,7,10,12,12,13,9,11,9,8,10,10,9,10,14,8,11,10,11,9,8,9,10,10,14,9,9,12,8,12,16,9,9,13,10,
2.05,7,11,10,11,7,9,8,10,10,9,8,9,9,8,8,9,9,11,8,8,9,9,10,10,8,7,10,13,9,8,7,8,8,10,8,9,8,8,8,10,12,6,10,10,10,8,9,10,9,8,8,8,9,9,8,9,12,10,8,10,10,7,7,10,11,11,8,12,9,8,10,7,9,12,9,8,7,9,11,10,11,11,8,8,10,10,11,8,10,10,9,10,8,9,12,7,8,9,11,12,
